Id	EssaySet	Score1	Score2	EssayText
1	1	1	1	some addit inform that we would need to replic the experi is how much vinegar should be place in each ident contain how or what tool to us to measur the mass of the four differ sampl and how much distil water to us to rins the four sampl after take them out of the vinegar .
2	1	1	1	after read the experi i realiz that the addit inform you need to replic the experi is on the amount of vinegar you pour in each contain two label the contain befor you start war experi and three write a conclus to make sure war result ar accur .
3	1	1	1	what you need is more trial a control set up and an exact amount of vinegar to pour in each cup beaker . you could also take and check the mass everi min or hour .
4	1	0	0	the student should list what rock is better and what rock is the wors in the procedur .
5	1	2	2	for the student to be abl to make a replic thei would need to tell us how much vinegar is us and what type of materi is need for the experi .
6	1	1	0	i would need the inform of why you would let the differ sampl dry out of the contain . and what ar thei dry into
7	1	1	0	the inform i would need in order to successfulli replic the experi is the correct measur thei us for the experi also the materi that wa us to treat the experi . after the hour of remov the sampl from the contain and rins each sampl with distil water . make it dry for minut might not be long enough to realli determin the mass of each sampl especi when you have more than on differ sampl to do with differ textur .
8	1	3	3	you would need mani more piec of inform to replic the experi . you would need the type of sampl to begin with in the procedur . you would also need to know the amount of vinegar us in each contain . you would also need to know exactli how to mass the sampl and what type of contain to us plastic for exampl might alter the result .
9	1	3	3	some addit inform you will need ar the materi . you also need to know the size of the contain to measur how the acid rain effect it . you need to know how much vinegar is us for each sampl . anoth thing that would help is to know how big the sampl stone ar by measur the best possibl wai .
10	1	2	2	in order to replic the experi we will need to add inform such as st iclenx statement of what the four sampl ar and how mani piec you will need as well as the amount of vinegar bring pour into the contain and the instrument you will need to retriev when determin mass . howev revis of sentenc and genuin ring will be requir .
11	1	0	0	an addit inform that i would need in order to replic the experi
12	1	3	3	the addit inform you would need to replic the experi would includ the size of the sampl . also you would need to know the kind of vinegar . in a addit it is crucial to get the same type and size contain .
13	1	2	2	there ar two piec of addit inform necessari to replic the experi . first of all the procedur doe not offici specifi what the four sampl ar . also the procedur doe not specifi how much vinegar to pour for each contain . a good procedur would have specifi thi
14	1	2	2	in order the replic the experi you need
15	1	0	0	well what i understand about thi procedur is that you take four sampl put them in differ contain that look the same put vinegar on everi sampl final rins them out with normal water let them sit for minut till thei dry . then your final go to see the differ between those sampl .
16	1	0	0	i don t know what is go on
17	1	3	3	in order to replic thi experi i would need to know the shape of each materi becaus the amount of surfac area expand to the vinegar mass chang the result . i would also need to know how much vinegar and what size contain to us in order to exactli replic the experi .
18	1	0	0	the addit inform i would need is to come up with an hypothesi to predict which sampl will have the highest mass in acid rain . after that i will have to come up with my depend and independ variabl so i can tell and see each on is differ in mass . i will organ the data to see if the inform is accur . then i will write the conclus to see if my hypothesi wa correct and to see if my result were correct .
19	1	0	0	in order to replic thi experi i would need a scare in order to get the mass . next i would need tape and marker to label the contain . last i would need all sampl and graduat cylind as a contain to replic thi experi .
20	1	3	3	in order for the me to replic their procedur i would need to know what four sampl thei us thei should includ that in their procedur . also thei should stai where you ar to put the four contain dure the hour time period final thei should includ what type of vinegar or what brand so that when i were to do thi experi i would in as close to what thei actual did and therefor would be abl to replic the experi .
21	1	0	0	you would need to have four separ but ident contain . you would also need to pour in each of them vinegar to determin the mass of the item be place in them . and new item would be need to be place in each of the contain .
22	1	2	2	in order to replic the experi i would need to know the mass of the four differ sampl how much vinegar to pour into the contain what the sampl were made up of and how much water to rins them with after the hour .
23	1	0	0	the student data need to includ how much of the solut wa pour . thei also need to find out if the rock weigh the same when thei start .
24	1	3	3	for thi experi duplic you would need to know exactli how much vinegar wa us in each cup . you would also have to know how big in size each contain wa . addition you would need to know the size of each sampl to assur that you could place them in the cup evenli .
25	1	1	1	some addit inform that i would need is the amount of vinegar thei pour .
26	1	2	2	after read the group procedur i would need to know what type of vinegar thei were us becaus it could of been ani type what wa the measur of contain becaus the contain could have been differ size and thei wouldn t have valid result and thei also should have told me what thei were hold constant becaus i wouldn t know what variabl to us or control .
27	1	2	2	thei need to includ what time thei start and when thei end . also the amount of vinegar thei us . also the size of each sampl .
28	1	0	0	. get differ sampl marbl limeston wood plastic . p . put each sampl into differ contain . p . pour vinegar in each of separ but ident contain . p . after hour remov the sampl from the contain and rins each w distil water . p . allow sampl to sit and dry for min . p . determin the data of each sampl . p . record your data .
29	1	3	3	in order to replic thi experi you would need to know what the sampl were . in thi group s procedur thei do not state what
30	1	2	0	in step three you would need to know how much of each sampl to us . also in step to you need to fill each contain with the same amount step you must rins each stone as much . also there is no control variabl .
31	1	2	2	i addit inform that i would need to replic the experi is to add where your go to leav the sampl for hour . anoth on that thei would need to add in order for me to replic the experi is to clearli state the independ variabl . i would also need them to state how much vinegar to pour into each separ but ident contain .
32	1	0	0	you will need a timer to determin the time that the vinegar dri up .
33	1	3	3	for thi experi you would actual need to know what each sampl is the amount of vinegar that wa us and the size of each sampl
34	1	3	3	to replic the experi i would need to know the sampl that i will be us . i would also need to know how much vinegar to us . i would also need to know what type of contain to us .
35	1	1	1	in order to replic the experi . you would need to know how much vinegar to pour you need to know how much distil water and you as need to know how your go to weigh it .
36	1	2	2	well i would need to know what the problem statement is . i would need to know what type of cup we ar us . i would need to know the amount of vinegar we ar us . and i would need to know if the amount of vinegar in each cup will differ .
37	1	2	2	in order to replic the experi i would need to know how much of each materi is us befor i go and find the mass . i would need to know how much vinegar to pour on each materi . although thei show the materi in the data take thei should still list them in the procedur .
38	1	0	0	i will need to know what s the purpos for thi experi know the differ in mass for each sampl and i need to know an estim of what thei thought the start and end mass wa .
39	1	1	1	thei should add how much vinegar to add to each sampl . for thi lab to be more accur thei should have also ad more trial as well as ad a constant variabl such as a rock in just water .
40	1	2	2	in order to replic thi experi i would need to know first how to calcul the mass of the sampl . i would also need t o know what the four sampl ar as if is not state in the procedur . lastli to repeat thi experi i would need to know how much vinegar wa place into each contain .
41	1	1	1	addit inform that would be need to replic the data would be what equip is need for the experi what materi ar go to be us and how much of each materi will be us
42	1	3	3	in order to replic thi experi you would need to know the amount of vinegar to pour in the contain . you also need to know what to be of contain to pour the vinegar in . also you need to know how much or how long to rins the sampl with distil water .
43	1	3	3	after read the procedur i would first need to know what the for sampl ar that i am test second i p would need to know how much vinegar put in each contain next the procedur should tell me how thing to case rins each sampl in distil water .
44	1	3	3	determin what the differ sampl ar then state how much vinegar you would be ad to each sampl . state how long you ar rise the materi in water . ex minut
45	1	2	2	in order to replic the group experi i would need a lot of addit inform . first of all i would need to know what it is that thei ar us as the four sampl rock bark
46	1	0	0	i think the experi should make the descript more specif so as not to be confus and mistak cup . for instanc thei could sai each of the cork sampl and place sampl into cup label a
47	1	2	2	on extra thing that need to be includ is what materi or object the four sampl ar of anoth thing not includ is the amount of vinegar need to put in each contain . the word a sampl doesn t specifi the exact amount of each rock ar need . a repetit of thi experi is need to verifi the result .
48	1	0	0	there could be more than test for each sampl . there could also have a constant ad to the experi . also there ar to softi in teach in the experi like put on goggl befor ey where glove when touch the vinegar
49	1	0	0	thei should take more note that wai in case thei mess up thei can have a the inform how to redo it .
50	1	3	2	how much vinegar should you pour with what label and when to sit it it stand dry for min . . . label . the contain s repeatedli separ but ident contain . what contain should we us
51	1	1	1	in order to replic thi experi i would need to know what the differ materi were . i would also need to know how mani differ materi there were and what the start mass of each materi wa .
52	1	0	0	in the experi i would determin the ma of each sampl pair the vinegar into a contain then label . i would wait hour then pour out the vinegar and nose out with water . let the sampl dry and find the mass differ
53	1	2	2	in order to complet thi experi three addit thing should be includ . the first is the amount of vinegar to pout in the cup . the second is to list the far sampl in the procedur . the third is to record the inform obtain .
54	1	2	2	in order to replic the group s i would need to know how much vinegar to pour in each of the four and how long contain how much the sampl you need to add you need to rins the sampl .
55	1	2	2	the procedur need to state the four type of sampl it is us marbl limeston wood plastic . you need to determin how much vinegar you ar pour into each cup . you need a set amount . you could also do the time at differ time . so you could do it at is at and at minut to see if there is a chang at all in the mass over time .
56	1	1	0	the inform i would need to replic the experi is the four differ sampl the four ident contain the amount of time to let the sampl sit and the product to rins the sampl with so i could let them sit for more .
57	1	0	0	to repeat thi experi you would need to get the averag that wa us in the last procedur and let it sit for twenti eight hour instead of twenti four then rins and record the chang in mass .
58	1	2	2	we need to know the exact amount of vinegar go into each contain to make sure that each sampl fair result . we also need to have a set start mass so all of the sampl have the same amount or the result will not be reliabl . we also need to know what kind and how big the contain ar becaus result mai be unreli if the contain for the sampl have all differ volum and shape .
59	1	3	3	some addit inform that you would need is how mani vinegar ar you pour in . also in step it sai add a sampl of each materi . we need to know how big the sampl would have to be . someth that could effect the data could be what temperatur ar you put thi experi in is it room temperatur we need to know thi .
60	1	3	3	to replic the experi the procedur would requir more detail . on piec of inform that is omit is the amount of vinegar us in the experi . it is also import to know what temperatur the experi wa kept at dure the hour . final the procedur need to includ detail about the experi for exampl if the whole sampl must be submerg .
61	1	1	1	you would need the amount of vinegar be pour into each of the cap . that becaus the experi onli tell you to pour vinegar but when peopl read if thei might not know how much vinegar to put .
