Id,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14
19953,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
19954,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19958,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19960,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19963,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
19964,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19965,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19966,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0
19967,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
19968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19970,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
19971,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
19972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19973,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
19974,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19977,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
19978,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
19979,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
19980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19981,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19982,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
