Id,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
24576,0,0,0,1,0,0,1,0,0,0
24577,0,0,1,1,0,0,0,0,0,0
24578,1,0,1,1,1,1,0,0,0,0
24579,1,0,0,1,0,0,1,0,0,0
24580,0,0,0,1,0,0,0,0,0,0
24581,0,0,0,0,0,0,0,0,0,0
24582,0,0,0,1,1,0,1,1,0,0
24583,0,0,0,0,0,0,0,0,0,0
24584,0,0,0,0,0,0,0,0,0,0
24585,1,0,0,1,0,0,1,1,0,0
24586,0,0,0,0,0,0,0,0,0,0
24587,1,0,0,0,0,0,1,0,0,0
24588,0,0,0,1,0,0,1,0,0,0
24589,1,0,0,1,0,1,1,0,0,0
24590,0,0,1,0,0,0,0,0,0,0
24591,0,0,0,0,0,1,0,0,0,0
24592,1,0,0,1,0,0,1,1,0,0
24593,0,0,1,1,1,0,0,0,0,0
24594,0,0,1,1,1,0,0,0,0,0
24595,0,0,0,0,0,0,1,0,0,0
24596,1,0,0,1,0,0,0,0,0,0
24597,1,0,0,0,0,0,0,0,0,0
24598,0,0,0,1,0,0,0,0,0,0
24599,0,0,1,0,0,0,0,0,0,0
24600,0,0,0,0,0,0,0,0,0,0
24601,0,0,0,1,0,0,0,0,0,0
24602,1,0,0,0,0,0,0,0,0,0
24603,0,1,0,0,0,0,0,0,0,0
24604,0,0,1,1,1,1,0,0,0,0
24605,0,0,1,1,1,1,0,0,0,0
24606,0,0,0,0,0,0,0,0,0,0
24607,0,0,1,0,0,0,0,0,0,0
24608,0,0,0,0,0,0,1,0,0,0
24609,0,1,0,1,0,1,0,0,0,0
24610,0,0,1,0,0,0,0,0,0,0
24611,0,0,0,0,0,0,1,1,0,0
24612,0,0,0,1,0,0,1,0,0,0
24613,0,0,1,0,0,0,0,0,0,0
24614,0,0,0,1,0,0,0,0,0,0
24615,0,1,0,1,1,1,0,1,0,0
24616,0,0,0,1,1,1,0,0,0,0
24617,0,0,0,1,0,1,0,0,0,0
24618,1,1,0,0,0,0,0,0,0,0
24619,0,0,1,1,1,1,0,0,0,0
24620,0,0,0,0,0,0,0,0,0,0
24621,0,0,0,0,0,0,0,0,0,0
24622,0,0,0,1,0,0,1,0,0,0
24623,0,0,0,1,0,0,0,1,0,0
24624,0,0,0,0,0,0,0,0,0,0
24625,0,0,0,0,0,0,0,0,0,0
24626,0,0,0,1,0,0,1,0,0,0
24627,0,0,1,1,1,1,0,0,0,0
24628,0,0,0,0,0,0,0,0,0,0
24629,0,0,1,1,0,0,0,0,0,0
24630,1,0,1,0,0,0,0,0,0,0
24631,0,0,1,1,1,1,0,0,0,0
24632,0,1,0,1,1,1,0,0,0,0
24633,0,0,0,1,0,0,0,0,0,0
24634,1,0,0,1,0,0,0,1,0,0
24635,0,0,0,0,0,0,0,0,0,0
24636,0,0,1,1,1,1,0,0,0,0
24637,0,0,0,0,0,0,1,0,0,0
24638,0,0,0,0,0,0,0,0,0,0
24639,0,0,0,1,0,0,0,0,0,0
24640,0,0,1,0,0,0,0,0,0,0
24641,0,0,0,0,0,0,0,0,0,0
24642,0,0,0,0,0,0,0,0,1,0
24643,1,0,0,0,0,1,0,0,0,0
24644,0,1,1,1,1,0,0,0,0,0
24645,0,0,0,0,0,0,0,0,0,0
24646,0,0,1,0,0,0,0,0,0,0
24647,0,0,0,0,1,0,0,0,0,0
24648,0,0,1,0,0,0,0,0,0,0
24649,0,0,1,1,1,1,0,0,0,0
24650,0,0,0,1,1,1,0,0,0,0
24651,0,1,0,1,0,0,1,0,0,0
24652,0,0,1,0,0,0,0,0,0,0
24653,0,0,1,1,0,0,0,0,0,0
24654,0,0,0,1,1,1,1,0,0,0
24655,0,0,1,0,0,0,0,0,0,0
24656,1,0,1,0,0,0,0,0,0,0
24657,0,0,0,0,0,0,0,0,0,0
24658,0,0,1,0,0,0,0,0,0,0
24659,0,0,0,1,1,0,0,0,0,0
24660,0,0,1,0,0,0,0,0,0,0
24661,0,0,1,0,0,0,1,0,0,0
24662,0,0,0,0,0,0,0,0,0,0
24663,0,1,0,1,1,1,0,1,0,0
24664,0,0,0,0,0,0,0,0,0,0
24665,0,0,0,1,1,1,0,0,0,0
24666,0,0,0,0,0,0,0,0,0,0
24667,0,0,0,1,1,1,0,0,0,0
24668,0,0,0,1,0,0,0,0,0,0
24669,0,0,0,0,0,0,0,0,0,0
24670,0,0,1,0,1,1,0,0,0,0
24671,0,0,1,0,0,0,0,0,0,0
24672,0,0,0,1,0,1,0,0,0,0
24673,0,0,1,0,0,0,0,0,0,0
24674,0,0,0,1,0,0,0,0,0,0
24675,0,1,0,1,0,0,0,0,0,0
24676,0,0,0,0,0,0,0,0,0,0
24677,0,0,0,0,0,0,0,0,0,0
24678,0,0,0,1,0,0,0,0,0,0
24679,0,0,0,0,0,0,0,0,0,0
24680,0,0,0,1,0,0,0,0,0,0
24681,0,0,1,1,0,1,0,0,0,0
24682,0,0,0,1,0,0,0,0,0,0
24683,1,0,0,1,1,1,0,1,0,0
24684,0,0,0,1,0,0,0,0,0,0
24685,0,0,0,0,0,0,0,0,0,0
24686,0,0,0,0,0,0,0,1,0,0
24687,0,0,0,1,0,0,0,0,0,0
24688,0,0,0,0,0,0,0,0,0,0
24689,0,0,0,0,0,0,0,0,0,0
24690,0,0,1,1,0,0,1,0,0,0
24691,0,0,1,0,0,0,0,0,0,0
24692,0,0,0,1,1,1,0,0,0,0
24693,0,0,1,0,0,0,0,0,0,0
24694,0,0,0,0,0,0,0,0,0,0
24695,0,0,0,0,0,0,0,0,0,0
24696,1,0,0,0,0,0,0,0,0,0
24697,0,0,0,0,1,1,1,0,0,0
24698,0,0,0,0,0,0,0,0,0,0
24699,0,0,1,1,1,1,0,0,0,0
24700,0,0,0,0,0,0,0,0,0,0
24701,0,0,1,0,0,0,0,0,0,0
24702,0,0,0,1,1,0,0,0,0,0
24703,0,0,0,1,0,0,0,0,0,0
24704,0,1,0,1,0,0,1,1,0,0
24705,0,1,0,1,1,1,0,1,0,0
24706,0,0,0,0,0,0,0,0,0,0
24707,0,0,1,0,0,0,0,0,0,0
24708,1,0,0,1,0,1,0,1,0,0
24709,0,0,0,1,0,0,0,0,0,0
24710,0,0,1,1,1,0,0,0,0,0
24711,0,0,0,0,0,0,0,0,0,0
24712,0,1,0,0,0,0,0,0,0,0
24713,0,1,0,0,0,0,1,1,0,0
24714,0,0,0,0,0,0,1,1,0,0
24715,0,1,0,1,0,0,1,0,0,0
24716,0,0,1,1,0,1,0,0,0,0
24717,0,0,1,1,0,0,0,0,0,0
24718,0,0,0,1,1,1,0,0,0,0
24719,0,0,1,0,0,0,0,0,0,0
24720,0,0,0,1,0,0,1,0,0,0
24721,1,0,0,1,1,0,0,0,0,0
24722,1,0,0,1,1,1,0,1,0,0
24723,0,0,1,0,0,0,0,0,0,0
24724,0,1,0,1,1,1,0,0,0,0
24725,0,0,0,0,0,0,0,0,0,0
24726,0,0,1,1,1,0,0,0,0,0
24727,0,0,0,1,0,0,0,0,0,0
24728,0,1,0,1,0,1,1,0,0,0
24729,0,1,0,1,1,1,0,0,0,0
24730,0,1,0,0,0,0,0,0,0,0
24731,0,0,0,1,0,0,0,0,0,0
24732,0,0,1,0,0,0,0,0,0,0
24733,0,0,0,0,0,0,0,0,0,0
24734,0,0,0,1,0,1,0,0,0,0
24735,0,0,0,0,0,0,0,0,0,0
24736,1,0,0,0,0,0,0,0,0,0
24737,1,0,0,1,1,1,0,0,0,0
24738,0,1,0,1,0,0,0,1,0,0
24739,0,0,1,0,0,0,0,0,0,0
24740,0,0,0,0,0,0,0,0,0,0
24741,0,0,0,0,0,0,0,0,0,0
24742,0,0,1,1,1,1,0,0,0,0
24743,0,0,1,1,0,0,1,1,0,0
24744,0,0,0,0,0,0,0,0,0,0
24745,0,0,0,0,0,0,1,0,0,0
24746,0,0,0,0,0,0,0,0,0,0
24747,0,1,0,0,0,0,0,0,0,0
